chr,pos,snp,cases,pvalue,ratio,gene,phenotype,gwas,number
chr1,67694202,rs2201841,110,0.01091,1.426,IL23R,Crohn's disease,"Psoriasis, Ulcerative colitis",133
chr1,67694202,rs2201841,803,0.01097,1.155,IL23R,Rash and other nonspecific skin eruption,"Psoriasis, Ulcerative colitis",133
chr1,67725120,rs10889677,110,0.01125,1.423,IL23R,Crohn's disease,Ulcerative colitis,133
chr1,67694202,rs2201841,526,0.01126,1.21,IL23R,Macular puckering of retina,"Psoriasis, Ulcerative colitis",133
chr1,67702526,rs11465804,152,0.01132,1.661,IL23R,Genitourinary congenital anomalies,Crohn's disease,133
chr1,67681669,rs7517847,152,0.01137,1.339,IL23R,Genitourinary congenital anomalies,"Crohn's disease, Crohn disease involving the ileal region of the small intestine",133
chr1,67694202,rs2201841,2631,0.01155,1.094,IL23R,Cerebrovascular disease,"Psoriasis, Ulcerative colitis",133
chr1,67725120,rs10889677,526,0.01201,1.208,IL23R,Macular puckering of retina,Ulcerative colitis,133
chr1,67681669,rs7517847,1902,0.01221,1.094,IL23R,Tobacco use disorder,"Crohn's disease, Crohn disease involving the ileal region of the small intestine",133
chr1,67705958,rs11209026,152,0.01225,1.637,IL23R,Paraproteinemia,"Inflammatory bowel disease, Psoriasis vulgaris, Crohn's disease, Ankylosing spondylitis, Ulcerative colitis",133
chr1,67694202,rs2201841,135,0.01226,1.37,IL23R,Diseases of the tongue,"Psoriasis, Ulcerative colitis",133
chr1,67705958,rs11209026,747,0.01254,1.332,IL23R,Photodermatitis & sunburn,"Inflammatory bowel disease, Psoriasis vulgaris, Crohn's disease, Ankylosing spondylitis, Ulcerative colitis",133
chr1,67694202,rs2201841,197,0.01254,1.305,IL23R,Inflammatory bowel disease,"Psoriasis, Ulcerative colitis",133
chr1,67705958,rs11209026,107,0.01291,1.781,IL23R,Hyperosmolality and/or hypernatremia,"Inflammatory bowel disease, Psoriasis vulgaris, Crohn's disease, Ankylosing spondylitis, Ulcerative colitis",133
chr1,67694202,rs2201841,254,0.01301,1.285,IL23R,Cystoid macular degeneration of retina,"Psoriasis, Ulcerative colitis",133
chr1,67725120,rs10889677,254,0.0135,1.285,IL23R,Cystoid macular degeneration of retina,Ulcerative colitis,133
chr1,67702526,rs11465804,361,0.01372,1.451,IL23R,Urticaria,Crohn's disease,133
chr1,67681669,rs7517847,916,0.01377,1.131,IL23R,Internal derangement of knee,"Crohn's disease, Crohn disease involving the ileal region of the small intestine",133
chr1,67681669,rs7517847,772,0.01456,1.141,IL23R,pulmonary heart disease,"Crohn's disease, Crohn disease involving the ileal region of the small intestine",133
chr1,67694202,rs2201841,153,0.0151,1.339,IL23R,Type 2 diabetic peripheral circulatory disorders,"Psoriasis, Ulcerative colitis",133
chr1,67681669,rs7517847,3601,0.01546,1.079,IL23R,Hearing loss,"Crohn's disease, Crohn disease involving the ileal region of the small intestine",133
chr1,67705958,rs11209026,107,0.01571,1.742,IL23R,Congenital anomalies of urinary system,"Inflammatory bowel disease, Psoriasis vulgaris, Crohn's disease, Ankylosing spondylitis, Ulcerative colitis",133
chr1,67681669,rs7517847,118,0.01656,1.385,IL23R,Abnormal chest sounds,"Crohn's disease, Crohn disease involving the ileal region of the small intestine",133
chr1,67705958,rs11209026,361,0.01672,1.432,IL23R,Urticaria,"Inflammatory bowel disease, Psoriasis vulgaris, Crohn's disease, Ankylosing spondylitis, Ulcerative colitis",133
chr1,67681669,rs7517847,118,0.01735,1.369,IL23R,Heart transplant/surgery,"Crohn's disease, Crohn disease involving the ileal region of the small intestine",133
chr1,67725120,rs10889677,151,0.01855,1.322,IL23R,Other diseases of respiratory system,Ulcerative colitis,133
chr1,67681669,rs7517847,1228,0.01857,1.12,IL23R,Chronic ischemic heart disease,"Crohn's disease, Crohn disease involving the ileal region of the small intestine",133
chr1,67702526,rs11465804,557,0.01922,1.344,IL23R,Diseases of hard tissues of teeth,Crohn's disease,133
chr1,67681669,rs7517847,461,0.01989,1.173,IL23R,"Neuralgia, neuritis, and radiculitis NOS","Crohn's disease, Crohn disease involving the ileal region of the small intestine",133
chr1,67705958,rs11209026,130,0.02038,1.664,IL23R,Anemia in neoplastic disease,"Inflammatory bowel disease, Psoriasis vulgaris, Crohn's disease, Ankylosing spondylitis, Ulcerative colitis",133
chr1,67725120,rs10889677,803,0.02071,1.14,IL23R,Rash and other nonspecific skin eruption,Ulcerative colitis,133
chr1,67702526,rs11465804,152,0.02156,1.596,IL23R,Paraproteinemia,Crohn's disease,133
chr1,67702526,rs11465804,107,0.02162,1.716,IL23R,Congenital anomalies of urinary system,Crohn's disease,133
chr1,67725120,rs10889677,2591,0.02164,1.103,IL23R,Other disorders of eye,Ulcerative colitis,133
chr1,67681669,rs7517847,165,0.02228,1.29,IL23R,Myeloproliferative disease,"Crohn's disease, Crohn disease involving the ileal region of the small intestine",133
chr1,67702526,rs11465804,694,0.02332,1.293,IL23R,Abnormal findings on examination of urine,Crohn's disease,133
chr1,67681669,rs7517847,109,0.02334,1.366,IL23R,Jaundice,"Crohn's disease, Crohn disease involving the ileal region of the small intestine",133
chr1,67681669,rs7517847,1567,0.02345,1.096,IL23R,Dislocation,"Crohn's disease, Crohn disease involving the ileal region of the small intestine",133
chr1,67694202,rs2201841,416,0.02393,1.209,IL23R,Primary open angle glaucoma,"Psoriasis, Ulcerative colitis",133
chr1,67694202,rs2201841,2591,0.02395,1.102,IL23R,Other disorders of eye,"Psoriasis, Ulcerative colitis",133
chr1,67681669,rs7517847,684,0.02486,1.136,IL23R,Pulmonary collapse; interstitial/compensatory emphysema,"Crohn's disease, Crohn disease involving the ileal region of the small intestine",133
chr1,67725120,rs10889677,416,0.02528,1.207,IL23R,Primary open angle glaucoma,Ulcerative colitis,133
chr1,67694202,rs2201841,933,0.02535,1.14,IL23R,Open-angle glaucoma,"Psoriasis, Ulcerative colitis",133
chr1,67702526,rs11465804,102,0.02559,1.709,IL23R,Stricture/obstruction of ureter,Crohn's disease,133
chr1,67702526,rs11465804,163,0.02567,1.576,IL23R,Loss of teeth or edentulism,Crohn's disease,133
chr1,67681669,rs7517847,979,0.0259,1.116,IL23R,Other disorders of circulatory system,"Crohn's disease, Crohn disease involving the ileal region of the small intestine",133
chr1,67725120,rs10889677,3146,0.02684,1.096,IL23R,Retinal disorders,Ulcerative colitis,133
chr1,67681669,rs7517847,268,0.02709,1.213,IL23R,Melanoma,"Crohn's disease, Crohn disease involving the ileal region of the small intestine",133
chr1,67681669,rs7517847,530,0.02721,1.157,IL23R,Other nonspecific findings on examination of urine,"Crohn's disease, Crohn disease involving the ileal region of the small intestine",133
chr1,67725120,rs10889677,933,0.02731,1.138,IL23R,Open-angle glaucoma,Ulcerative colitis,133
chr1,67681669,rs7517847,1948,0.02801,1.086,IL23R,Gastrointestinal hemorrhage,"Crohn's disease, Crohn disease involving the ileal region of the small intestine",133
chr1,67681669,rs7517847,2796,0.02828,1.09,IL23R,Hemorrhoids,"Crohn's disease, Crohn disease involving the ileal region of the small intestine",133
chr1,67705958,rs11209026,227,0.02837,1.45,IL23R,Plasma protein metabolism disorder,"Inflammatory bowel disease, Psoriasis vulgaris, Crohn's disease, Ankylosing spondylitis, Ulcerative colitis",133
chr1,67681669,rs7517847,3286,0.0287,1.08,IL23R,Urinary tract infection,"Crohn's disease, Crohn disease involving the ileal region of the small intestine",133
chr1,67681669,rs7517847,175,0.02933,1.272,IL23R,"Pain, swelling or discharge of eye","Crohn's disease, Crohn disease involving the ileal region of the small intestine",133
chr1,67702526,rs11465804,747,0.03011,1.294,IL23R,Photodermatitis & sunburn,Crohn's disease,133
chr1,67681669,rs7517847,1659,0.0304,1.091,IL23R,Thoracic neuritis/radiculitis,"Crohn's disease, Crohn disease involving the ileal region of the small intestine",133
chr1,67681669,rs7517847,476,0.03046,1.184,IL23R,First degree AV block,"Crohn's disease, Crohn disease involving the ileal region of the small intestine",133
chr1,67681669,rs7517847,2860,0.03051,1.073,IL23R,Anemia NOS,"Crohn's disease, Crohn disease involving the ileal region of the small intestine",133
chr1,67705958,rs11209026,152,0.03095,1.549,IL23R,Genitourinary congenital anomalies,"Inflammatory bowel disease, Psoriasis vulgaris, Crohn's disease, Ankylosing spondylitis, Ulcerative colitis",133
chr1,67705958,rs11209026,525,0.03115,1.314,IL23R,Dental caries,"Inflammatory bowel disease, Psoriasis vulgaris, Crohn's disease, Ankylosing spondylitis, Ulcerative colitis",133
chr1,67681669,rs7517847,1573,0.03187,1.091,IL23R,Myalgia and myositis NOS,"Crohn's disease, Crohn disease involving the ileal region of the small intestine",133
chr1,67694202,rs2201841,3146,0.03272,1.093,IL23R,Retinal disorders,"Psoriasis, Ulcerative colitis",133
chr1,67702526,rs11465804,107,0.03283,1.676,IL23R,Hyperosmolality and/or hypernatremia,Crohn's disease,133
chr1,67705958,rs11209026,270,0.03306,1.419,IL23R,Altered mental status,"Inflammatory bowel disease, Psoriasis vulgaris, Crohn's disease, Ankylosing spondylitis, Ulcerative colitis",133
chr1,67681669,rs7517847,194,0.0332,1.243,IL23R,Bacterial enteritis,"Crohn's disease, Crohn disease involving the ileal region of the small intestine",133
chr1,67705958,rs11209026,176,0.03373,1.495,IL23R,Mechanical complication due to other implant and internal device,"Inflammatory bowel disease, Psoriasis vulgaris, Crohn's disease, Ankylosing spondylitis, Ulcerative colitis",133
chr1,67694202,rs2201841,151,0.03391,1.29,IL23R,Other diseases of respiratory system,"Psoriasis, Ulcerative colitis",133
chr1,67705958,rs11209026,221,0.03481,1.454,IL23R,Essential tremor,"Inflammatory bowel disease, Psoriasis vulgaris, Crohn's disease, Ankylosing spondylitis, Ulcerative colitis",133
chr1,67681669,rs7517847,694,0.03599,1.129,IL23R,Abnormal findings on examination of urine,"Crohn's disease, Crohn disease involving the ileal region of the small intestine",133
chr1,67725120,rs10889677,404,0.03683,1.191,IL23R,Disorders of conjunctiva,Ulcerative colitis,133
chr1,67702526,rs11465804,270,0.03713,1.415,IL23R,Altered mental status,Crohn's disease,133
chr1,67681669,rs7517847,425,0.03767,1.174,IL23R,Poisoning by other anti-infectives,"Crohn's disease, Crohn disease involving the ileal region of the small intestine",133
chr1,67681669,rs7517847,192,0.0377,1.24,IL23R,Iron deficiency anemia secondary to blood loss,"Crohn's disease, Crohn disease involving the ileal region of the small intestine",133
chr1,67694202,rs2201841,300,0.03781,1.199,IL23R,Hypercalcemia,"Psoriasis, Ulcerative colitis",133
chr1,67705958,rs11209026,611,0.03808,1.272,IL23R,Thrombocytopenia,"Inflammatory bowel disease, Psoriasis vulgaris, Crohn's disease, Ankylosing spondylitis, Ulcerative colitis",133
chr1,67681669,rs7517847,439,0.03899,1.168,IL23R,Allergy/adverse effect of penicillin,"Crohn's disease, Crohn disease involving the ileal region of the small intestine",133
chr1,67681669,rs7517847,512,0.03926,1.142,IL23R,"Epilepsy, recurrent seizures, convulsions","Crohn's disease, Crohn disease involving the ileal region of the small intestine",133
chr1,67681669,rs7517847,169,0.0396,1.257,IL23R,Dermatophytosis of the body,"Crohn's disease, Crohn disease involving the ileal region of the small intestine",133
chr1,67681669,rs7517847,919,0.0402,1.117,IL23R,Venous embolism & thrombosis,"Crohn's disease, Crohn disease involving the ileal region of the small intestine",133
chr1,67705958,rs11209026,102,0.04034,1.634,IL23R,Stricture/obstruction of ureter,"Inflammatory bowel disease, Psoriasis vulgaris, Crohn's disease, Ankylosing spondylitis, Ulcerative colitis",133
chr1,67681669,rs7517847,302,0.0408,1.192,IL23R,Deep vein thrombosis,"Crohn's disease, Crohn disease involving the ileal region of the small intestine",133
chr1,67702526,rs11465804,219,0.04084,1.473,IL23R,Disorders of coccyx,Crohn's disease,133
chr1,67705958,rs11209026,694,0.04157,1.258,IL23R,Abnormal findings on examination of urine,"Inflammatory bowel disease, Psoriasis vulgaris, Crohn's disease, Ankylosing spondylitis, Ulcerative colitis",133
chr1,67702526,rs11465804,130,0.04186,1.588,IL23R,Anemia in neoplastic disease,Crohn's disease,133
chr1,67681669,rs7517847,758,0.04347,1.122,IL23R,Acquired toe deformities,"Crohn's disease, Crohn disease involving the ileal region of the small intestine",133
chr1,67681669,rs7517847,163,0.0447,1.26,IL23R,Sexual and gender identity disorders,"Crohn's disease, Crohn disease involving the ileal region of the small intestine",133
chr1,67681669,rs7517847,1167,0.04475,1.096,IL23R,Hypotension,"Crohn's disease, Crohn disease involving the ileal region of the small intestine",133
chr1,67694202,rs2201841,404,0.04495,1.184,IL23R,Disorders of conjunctiva,"Psoriasis, Ulcerative colitis",133
chr1,67681669,rs7517847,313,0.04496,1.178,IL23R,Symptoms of the muscles,"Crohn's disease, Crohn disease involving the ileal region of the small intestine",133
chr1,67705958,rs11209026,426,0.04526,1.322,IL23R,Other specified diseases of sebaceous glands,"Inflammatory bowel disease, Psoriasis vulgaris, Crohn's disease, Ankylosing spondylitis, Ulcerative colitis",133
chr1,67725120,rs10889677,161,0.0466,1.268,IL23R,Intestinal malabsorption,Ulcerative colitis,133
chr1,67725120,rs10889677,186,0.04697,1.251,IL23R,Corneal opacity,Ulcerative colitis,133
chr1,67681669,rs7517847,2298,0.04745,1.072,IL23R,Neck pain,"Crohn's disease, Crohn disease involving the ileal region of the small intestine",133
chr1,67681669,rs7517847,1939,0.04774,1.083,IL23R,Hematuria,"Crohn's disease, Crohn disease involving the ileal region of the small intestine",133
chr1,67694202,rs2201841,186,0.04787,1.249,IL23R,Corneal opacity,"Psoriasis, Ulcerative colitis",133
chr1,67702526,rs11465804,493,0.04794,1.31,IL23R,Epistaxis or throat hemorrhage,Crohn's disease,133
chr1,67681669,rs7517847,286,0.04819,1.189,IL23R,Flat foot,"Crohn's disease, Crohn disease involving the ileal region of the small intestine",133
chr1,67702526,rs11465804,396,0.04987,1.322,IL23R,Alcoholism,Crohn's disease,133
chr11,126619190,rs1557488,3276,2.871e-4,1.178,KIRREL3,"Osteoporosis, osteopenia, & pathological fractures",Attention deficit hyperactivity disorder and conduct disorder,132
chr11,126619190,rs1557488,243,3.139e-4,1.496,KIRREL3,Bacterial pneumonia,Attention deficit hyperactivity disorder and conduct disorder,132
chr11,126809705,rs1939992,199,3.926e-4,1.508,KIRREL3,Disorders of tooth development,"Insulin-like growth factor I precursor, Total",132
chr11,126619190,rs1557488,202,4.535e-4,1.53,KIRREL3,Other immunological findings,Attention deficit hyperactivity disorder and conduct disorder,132
chr11,126296589,rs4935969,102,0.001023,1.596,KIRREL3,Other and unspecified disc disorder,Hair color,132
chr11,126619190,rs1557488,320,0.001149,1.426,KIRREL3,Sulfonamides,Attention deficit hyperactivity disorder and conduct disorder,132
chr11,126296589,rs4935969,150,0.001215,1.461,KIRREL3,Cancer of the upper aerodigestive tract,Hair color,132
chr11,126619190,rs1557488,758,0.001347,1.264,KIRREL3,Acquired toe deformities,Attention deficit hyperactivity disorder and conduct disorder,132
chr11,126619190,rs1557488,1625,0.001589,1.193,KIRREL3,Acute bronchitis and bronchiolitis,Attention deficit hyperactivity disorder and conduct disorder,132
chr11,126296589,rs4935969,109,0.001946,1.539,KIRREL3,Unequal leg length (acquired),Hair color,132
chr11,126809705,rs1939992,332,0.002159,1.347,KIRREL3,Disorders of optic nerve and visual pathways,"Insulin-like growth factor I precursor, Total",132
chr11,126809705,rs1939992,189,0.002574,1.438,KIRREL3,Disturbances in tooth eruption,"Insulin-like growth factor I precursor, Total",132
chr11,126619190,rs1557488,874,0.003056,1.217,KIRREL3,Viral warts & HPV,Attention deficit hyperactivity disorder and conduct disorder,132
chr11,126619190,rs1557488,1796,0.003332,1.184,KIRREL3,Osteopenia,Attention deficit hyperactivity disorder and conduct disorder,132
chr11,126809705,rs1939992,293,0.003571,1.315,KIRREL3,Infections involving bone,"Insulin-like growth factor I precursor, Total",132
chr11,126619190,rs1557488,425,0.003595,1.332,KIRREL3,Poisoning by other anti-infectives,Attention deficit hyperactivity disorder and conduct disorder,132
chr11,126619190,rs1557488,511,0.003601,1.266,KIRREL3,Rheumatoid arthritis & related inflammatory polyarthropathies,Attention deficit hyperactivity disorder and conduct disorder,132
chr11,126296589,rs4935969,1112,0.004126,1.146,KIRREL3,Type 2 diabetic ketoacidosis,Hair color,132
chr11,126809705,rs1939992,530,0.004784,1.251,KIRREL3,"Osteoarthrosis, generalized","Insulin-like growth factor I precursor, Total",132
chr11,126619190,rs1557488,398,0.005009,1.289,KIRREL3,Rheumatoid arthritis,Attention deficit hyperactivity disorder and conduct disorder,132
chr11,126296589,rs4935969,1716,0.005195,1.121,KIRREL3,Allergic rhinitis,Hair color,132
chr11,126619190,rs1557488,132,0.006377,1.505,KIRREL3,Fracture of clavicle or scapula,Attention deficit hyperactivity disorder and conduct disorder,132
chr11,126296589,rs4935969,455,0.006422,1.219,KIRREL3,"Varicose veins of lower extremity, symptomtic",Hair color,132
chr11,126809705,rs1939992,110,0.006701,1.499,KIRREL3,Other disorders of middle ear and mastoid,"Insulin-like growth factor I precursor, Total",132
chr11,126809705,rs1939992,241,0.00693,1.321,KIRREL3,Osteomyelitis,"Insulin-like growth factor I precursor, Total",132
chr11,126619190,rs1557488,1618,0.007451,1.157,KIRREL3,Acquired foot deformities,Attention deficit hyperactivity disorder and conduct disorder,132
chr11,126296589,rs4935969,814,0.007598,1.155,KIRREL3,Nonrheumatic aortic valve disorders,Hair color,132
chr11,126809705,rs1939992,184,0.007773,1.386,KIRREL3,Corneal degenerations,"Insulin-like growth factor I precursor, Total",132
chr11,126296589,rs4935969,1978,0.007823,1.119,KIRREL3,Chronic sinusitis,Hair color,132
chr11,126296589,rs4935969,366,0.007999,1.226,KIRREL3,Neutropenia,Hair color,132
chr11,126809705,rs1939992,185,0.008565,1.357,KIRREL3,Fracture of pelvis,"Insulin-like growth factor I precursor, Total",132
chr11,126296589,rs4935969,150,0.008583,1.358,KIRREL3,Drug-resistant infection,Hair color,132
chr11,126296589,rs4935969,278,0.008878,1.253,KIRREL3,Protein plasma/amino-acid transport and metabolism disorder,Hair color,132
chr11,126619190,rs1557488,292,0.009045,1.342,KIRREL3,Left bundle branch block,Attention deficit hyperactivity disorder and conduct disorder,132
chr11,126296589,rs4935969,316,0.009209,1.241,KIRREL3,Insulin pump user,Hair color,132
chr11,126809705,rs1939992,824,0.009243,1.178,KIRREL3,Dyspepsia and disorders of function of stomach,"Insulin-like growth factor I precursor, Total",132
chr11,126296589,rs4935969,436,0.009249,1.21,KIRREL3,Acquired deformities of limbs,Hair color,132
chr11,126809705,rs1939992,252,0.009698,1.366,KIRREL3,"Macular degeneration, wet","Insulin-like growth factor I precursor, Total",132
chr11,126296589,rs4935969,209,0.01009,1.302,KIRREL3,Duodenal ulcer,Hair color,132
chr11,126809705,rs1939992,147,0.01011,1.418,KIRREL3,"Eye infection, viral","Insulin-like growth factor I precursor, Total",132
chr11,126619190,rs1557488,563,0.01043,1.241,KIRREL3,Hammer toe,Attention deficit hyperactivity disorder and conduct disorder,132
chr11,126619190,rs1557488,667,0.0106,1.228,KIRREL3,Hallux valgus (Bunion),Attention deficit hyperactivity disorder and conduct disorder,132
chr11,126809705,rs1939992,2019,0.01117,1.117,KIRREL3,Diseases of sebaceous glands,"Insulin-like growth factor I precursor, Total",132
chr11,126296589,rs4935969,109,0.01155,1.417,KIRREL3,Migrain with aura,Hair color,132
chr11,126296589,rs4935969,399,0.01202,1.219,KIRREL3,"Osteoarthrosis; localized, primary",Hair color,132
chr11,126296589,rs4935969,2298,0.01243,1.093,KIRREL3,Neck pain,Hair color,132
chr11,126296589,rs4935969,1622,0.01256,1.117,KIRREL3,Peripheral arterial disease,Hair color,132
chr11,126296589,rs4935969,2013,0.01288,1.113,KIRREL3,Atherosclerosis,Hair color,132
chr11,126296589,rs4935969,1081,0.01323,1.145,KIRREL3,Varicose veins of lower extremity,Hair color,132
chr11,126809705,rs1939992,326,0.01361,1.251,KIRREL3,Cellulitis and abscess of arm,"Insulin-like growth factor I precursor, Total",132
chr11,126296589,rs4935969,398,0.01454,1.198,KIRREL3,Decreased white blood cell count,Hair color,132
chr11,126809705,rs1939992,138,0.01466,1.386,KIRREL3,Appendiceal conditions,"Insulin-like growth factor I precursor, Total",132
chr11,126809705,rs1939992,906,0.0148,1.158,KIRREL3,Disorders of function of stomach,"Insulin-like growth factor I precursor, Total",132
chr11,126809705,rs1939992,274,0.01508,1.285,KIRREL3,Prurigo,"Insulin-like growth factor I precursor, Total",132
chr11,126809705,rs1939992,102,0.01508,1.449,KIRREL3,Stricture/obstruction of ureter,"Insulin-like growth factor I precursor, Total",132
chr11,126809705,rs1939992,533,0.01535,1.193,KIRREL3,Diabetic retinopathy,"Insulin-like growth factor I precursor, Total",132
chr11,126296589,rs4935969,206,0.0159,1.278,KIRREL3,Respiratory abnormalities,Hair color,132
chr11,126619190,rs1557488,517,0.01598,1.232,KIRREL3,Pathologic fracture,Attention deficit hyperactivity disorder and conduct disorder,132
chr11,126296589,rs4935969,1163,0.01619,1.119,KIRREL3,Occlusion and stenosis of precerebral arteries,Hair color,132
chr11,126296589,rs4935969,253,0.01628,1.249,KIRREL3,Chronic obstructive asthma,Hair color,132
chr11,126296589,rs4935969,2286,0.0164,1.09,KIRREL3,Other peripheral nerve disorders,Hair color,132
chr11,126809705,rs1939992,131,0.01748,1.385,KIRREL3,Appendicitis,"Insulin-like growth factor I precursor, Total",132
chr11,126296589,rs4935969,101,0.01781,1.403,KIRREL3,Cancer of larynx,Hair color,132
chr11,126809705,rs1939992,1752,0.01871,1.133,KIRREL3,Disorders of lacrimal system,"Insulin-like growth factor I precursor, Total",132
chr11,126619190,rs1557488,565,0.01894,1.201,KIRREL3,Diseases of white blood cells,Attention deficit hyperactivity disorder and conduct disorder,132
chr11,126809705,rs1939992,1989,0.0195,1.11,KIRREL3,Dermatophytosis,"Insulin-like growth factor I precursor, Total",132
chr11,126296589,rs4935969,847,0.0198,1.128,KIRREL3,Chronic ulcer of leg or foot,Hair color,132
chr11,126809705,rs1939992,1223,0.02033,1.131,KIRREL3,Sebaceous cyst,"Insulin-like growth factor I precursor, Total",132
chr11,126809705,rs1939992,803,0.02092,1.154,KIRREL3,Rash and other nonspecific skin eruption,"Insulin-like growth factor I precursor, Total",132
chr11,126296589,rs4935969,1362,0.02122,1.112,KIRREL3,Angina pectoris,Hair color,132
chr11,126809705,rs1939992,979,0.02143,1.139,KIRREL3,Other disorders of circulatory system,"Insulin-like growth factor I precursor, Total",132
chr11,126619190,rs1557488,1659,0.02144,1.148,KIRREL3,Osteoporosis,Attention deficit hyperactivity disorder and conduct disorder,132
chr11,126619190,rs1557488,297,0.02158,1.272,KIRREL3,Immune disorders,Attention deficit hyperactivity disorder and conduct disorder,132
chr11,126296589,rs4935969,3286,0.02194,1.085,KIRREL3,Urinary tract infection,Hair color,132
chr11,126296589,rs4935969,766,0.0225,1.158,KIRREL3,Chronic venous insufficiency,Hair color,132
chr11,126809705,rs1939992,756,0.02299,1.158,KIRREL3,Abnormal findings examination of lungs,"Insulin-like growth factor I precursor, Total",132
chr11,126296589,rs4935969,492,0.02359,1.166,KIRREL3,Anemia of chronic disease,Hair color,132
chr11,126296589,rs4935969,227,0.02563,1.237,KIRREL3,Plasma protein metabolism disorder,Hair color,132
chr11,126809705,rs1939992,919,0.02565,1.15,KIRREL3,Venous embolism & thrombosis,"Insulin-like growth factor I precursor, Total",132
chr11,126296589,rs4935969,498,0.02614,1.162,KIRREL3,Type 2 diabetic retinopathy,Hair color,132
chr11,126619190,rs1557488,313,0.02618,1.257,KIRREL3,Symptoms of the muscles,Attention deficit hyperactivity disorder and conduct disorder,132
chr11,126809705,rs1939992,498,0.02699,1.183,KIRREL3,Type 2 diabetic retinopathy,"Insulin-like growth factor I precursor, Total",132
chr11,126809705,rs1939992,1549,0.02783,1.129,KIRREL3,Dry eyes,"Insulin-like growth factor I precursor, Total",132
chr11,126296589,rs4935969,1180,0.02814,1.122,KIRREL3,Varicose veins,Hair color,132
chr11,126619190,rs1557488,223,0.02815,1.32,KIRREL3,Poisoning by agents affecting the cardiovascular system,Attention deficit hyperactivity disorder and conduct disorder,132
chr11,126809705,rs1939992,497,0.02827,1.181,KIRREL3,Skin neoplasm of uncertain behavior,"Insulin-like growth factor I precursor, Total",132
chr11,126809705,rs1939992,129,0.02832,1.358,KIRREL3,Type 1 diabetic retinopathy,"Insulin-like growth factor I precursor, Total",132
chr11,126296589,rs4935969,634,0.02865,1.141,KIRREL3,Cervical radiculitis,Hair color,132
chr11,126296589,rs4935969,297,0.02877,1.202,KIRREL3,Immune disorders,Hair color,132
chr11,126296589,rs4935969,223,0.02879,1.24,KIRREL3,Poisoning by agents affecting the cardiovascular system,Hair color,132
chr11,126809705,rs1939992,145,0.03007,1.346,KIRREL3,Mucous polyp of cervix,"Insulin-like growth factor I precursor, Total",132
chr11,126619190,rs1557488,407,0.03034,1.228,KIRREL3,Uterine leiomyoma,Attention deficit hyperactivity disorder and conduct disorder,132
chr11,126809705,rs1939992,152,0.03083,1.319,KIRREL3,Paraproteinemia,"Insulin-like growth factor I precursor, Total",132
chr11,126296589,rs4935969,156,0.03087,1.288,KIRREL3,Elevated sedimentation rate,Hair color,132
chr11,126296589,rs4935969,218,0.03116,1.234,KIRREL3,Functional disorders of bladder,Hair color,132
chr11,126809705,rs1939992,262,0.03135,1.243,KIRREL3,Uterine/Uterovaginal prolapse,"Insulin-like growth factor I precursor, Total",132
chr11,126296589,rs4935969,533,0.03194,1.149,KIRREL3,Diabetic retinopathy,Hair color,132
chr11,126296589,rs4935969,184,0.03194,1.257,KIRREL3,Polyarteritis nodosa and allied conditions,Hair color,132
chr11,126296589,rs4935969,179,0.03262,1.257,KIRREL3,Methicillin sensitive Staphylococcus aureus,Hair color,132
chr11,126809705,rs1939992,116,0.03313,1.363,KIRREL3,Kidney replaced by transpant,"Insulin-like growth factor I precursor, Total",132
chr11,126619190,rs1557488,461,0.03314,1.208,KIRREL3,Orthostatic hypotension,Attention deficit hyperactivity disorder and conduct disorder,132
chr11,126619190,rs1557488,290,0.03383,1.269,KIRREL3,Abnormal thyroid function,Attention deficit hyperactivity disorder and conduct disorder,132
chr11,126296589,rs4935969,241,0.03386,1.222,KIRREL3,Diplopia and disorders of binocular vision,Hair color,132
chr11,126809705,rs1939992,662,0.03415,1.171,KIRREL3,Disorders of cornea,"Insulin-like growth factor I precursor, Total",132
chr11,126296589,rs4935969,238,0.03501,1.241,KIRREL3,Synoviopathy,Hair color,132
chr11,126619190,rs1557488,939,0.03516,1.167,KIRREL3,"Conjunctivitis, infectious",Attention deficit hyperactivity disorder and conduct disorder,132
chr11,126619190,rs1557488,362,0.03555,1.222,KIRREL3,Carditis,Attention deficit hyperactivity disorder and conduct disorder,132
chr11,126619190,rs1557488,455,0.03569,1.221,KIRREL3,Abnormal Papanicolaou smear of cervix and cervical HPV,Attention deficit hyperactivity disorder and conduct disorder,132
chr11,126809705,rs1939992,526,0.03594,1.192,KIRREL3,Macular puckering of retina,"Insulin-like growth factor I precursor, Total",132
chr11,126296589,rs4935969,122,0.03605,1.313,KIRREL3,Other congenital anomalies of skin,Hair color,132
chr11,126296589,rs4935969,1447,0.03635,1.097,KIRREL3,Dermatophytosis of nail,Hair color,132
chr11,126296589,rs4935969,1507,0.03643,1.108,KIRREL3,Atherosclerosis of the extremities,Hair color,132
chr11,126619190,rs1557488,576,0.03666,1.2,KIRREL3,Cardiac pacemaker/device in situ,Attention deficit hyperactivity disorder and conduct disorder,132
chr11,126619190,rs1557488,1752,0.03683,1.13,KIRREL3,"Osteoporosis, NOS or other",Attention deficit hyperactivity disorder and conduct disorder,132
chr11,126809705,rs1939992,2104,0.03745,1.095,KIRREL3,Dermatophytosis / Dermatomycosis,"Insulin-like growth factor I precursor, Total",132
